"Name","ID","State","Tags","Runtime","eval/accuracy","eval/f1","eval/precision","eval/recall","eval/loss","train/loss","model/num_parameters","max_length","hidden_size_factor","num_hidden","num_attention","intermediate_size_factor","hidden_act","hidden_dropout_prob","attention_dropout_prob","layer_norm_eps","batch_size"
"malbert-classifier-ab021bBa2A","a3498qu7","finished","","1737","0.8084171320484822","0.805573758539049","0.8180900796054782","0.8084171320484822","0.3757840394973755","0.3539","23011330","32","128","7","4","4","gelu_new","0.01","0.001","0.01","128"
"malbert-classifier-F7855383BF","2q8kprjb","finished","","628","0.8252064513855443","0.8252037622307979","0.8252978944348492","0.8252064513855443","0.3786346912384033","0.354","39298","128","16","3","1","8","gelu_new","0.1","0.001","0.01","64"
"malbert-classifier-Db5Ad62e9c","j23b4zvi","finished","","3450","0.8253983573933386","0.8259833867113575","0.8279768145246682","0.8253983573933386","0.35380786657333374","0.3643","104614402","64","128","7","5","16","gelu_new","0.1","0.01","0.01","256"
"malbert-classifier-28be2E158A","qt4liu3u","finished","","635","0.8104436447151221","0.8089906304616474","0.8096555296097939","0.8104436447151221","0.4446551203727722","0.3628","840834","128","64","5","1","16","gelu_new","0.25","0.001","0.025","128"
"malbert-classifier-886B02c169","rijbapum","finished","","2306","0.8716044962452771","0.8714806294326536","0.8786266049693106","0.8716044962452771","0.3481972813606262","0.2697","53509634","128","128","10","4","8","gelu_new","0.1","0.001","0.01","128"
"malbert-classifier-4D5Aa87eb4","95rvocsz","finished","","1037","0.8643966088350792","0.861343245059068","0.8706204152558322","0.8643966088350792","0.31422045826911926","0.3651","1506434","32","32","4","4","8","silu","0.25","0.001","0.025","128"
"malbert-classifier-903eFD2D1E","crahe0mc","finished","","3628","0.8145810578474656","0.806041056022453","0.8185028285893412","0.8145810578474656","0.3523940443992615","0.3148","89832322","32","128","6","5","16","gelu_new","0.001","0.01","0.01","128"
"malbert-classifier-23f8CFF5Ec","us98k5zg","finished","","1972","0.8285924439379424","0.8225394070490151","0.8346500852191528","0.8285924439379424","0.3517771065235138","0.413","587458","32","32","6","2","8","gelu_new","0.25","0.1","0.01","64"
"malbert-classifier-42b3B69B33","7xy9gyif","finished","","888","0.8391026199065336","0.8374145109969736","0.8405103307040843","0.8391026199065336","0.34534457325935364","0.3845","5385410","32","32","5","7","8","silu","0.25","0.001","0.025","256"
"malbert-classifier-C6B00806b9","8xdudjec","finished","","3609","0.7848881444625078","0.7782058941825222","0.7823352854675745","0.7848881444625078","0.41444242000579834","0.4121","4354082","16","32","8","5","8","silu","0.01","0.25","0.01","64"
"malbert-classifier-4bFB56E1Fe","w3907soi","finished","","2032","0.8953248956068207","0.8958715130258643","0.8972899769029856","0.8953248956068207","0.24560005962848663","0.3448","2496002","32","64","7","2","8","gelu_new","0.1","0.1","0.01","64"
"malbert-classifier-85e4Fb26df","2axvrk9a","finished","","1440","0.8307189143991918","0.8271769204572151","0.8266847564223333","0.8307189143991918","0.3632637858390808","0.3532","12250626","64","64","9","4","8","gelu_new","0.001","0.01","0.01","128"
"malbert-classifier-2cDbb4B1C3","7qc7d31c","finished","","2342","0.7544669009958992","0.7477694116941143","0.7899154242652187","0.7544669009958992","0.5053377151489258","0.4011","320738","32","8","9","6","4","gelu_new","0.1","0.001","0.025","64"
"malbert-classifier-B4DDECC032","cd1mkhrq","finished","","1680","0.8034529319274059","0.8017696917008879","0.8080737215143813","0.8034529319274059","0.33963868021965027","0.3646","8312578","64","64","10","4","4","silu","0.01","0.01","0.025","64"
"malbert-classifier-0CEb59BA1D","wvysc9vh","failed","","116","","","","","","","114590210","512","128","12","4","16","gelu_new","0.1","0.001","0.01","64"
"malbert-classifier-9eafEfaEC8","6fpziulg","finished","","1498","0.7731167411503713","0.7671833508369648","0.8243126837104328","0.7731167411503713","0.3821595311164856","0.3085","6722562","128","64","11","2","16","gelu_new","0.01","0.1","0.025","64"
"malbert-classifier-ce46cBdDD9","mohg69z3","finished","","1323","0.8658869364964195","0.8588750284862152","0.8674655726762465","0.8658869364964195","0.3098851442337036","0.3531","14897154","128","64","11","4","8","gelu_new","0.25","0.001","0.01","64"
"malbert-classifier-1cb01aF7a3","ndb4ao4v","finished","","977","0.8213079465021005","0.8198792077301432","0.8359113563000911","0.8213079465021005","0.46736472845077515","0.3702","16629506","32","128","9","3","4","gelu_new","0.001","0.25","0.01","64"
"malbert-classifier-d9CA6cAA9C","h9hjcokp","finished","","1159","0.8779302848765198","0.8758307549234621","0.8808223241301651","0.8779302848765198","0.2874946594238281","0.3245","21073602","64","64","10","5","8","gelu_new","0.01","0.1","0.01","128"
"malbert-classifier-Cde0bda9F1","npxfm374","finished","","492","0.8614526411657559","0.8588242393786408","0.8662288121392555","0.8614526411657559","0.29523158073425293","0.3442","1813826","64","32","9","3","8","gelu_new","0.01","0.001","0.01","64"
"malbert-classifier-91948525Bc","y960obdk","finished","","201","0.8000344349129506","0.7983599300375829","0.8133726506771735","0.8000344349129506","0.42555880546569824","0.3422","395458","128","32","6","2","4","gelu_new","0.001","0.01","0.01","256"
"malbert-classifier-cfceFB3bc2","npm6yqj3","finished","","193","0.8024375884659226","0.7969418815376217","0.8061432392061888","0.8024375884659226","0.4056483209133148","0.4164","123170","32","4","3","12","2","relu","0.1","0.001","0.025","512"
"malbert-classifier-DdDE33Df03","9qa8wo1z","finished","","331","0.790219298245614","0.7861237967647586","0.788351302505488","0.790219298245614","0.4278786778450012","0.3597","1524098","128","64","10","2","2","gelu_new","0.25","0.1","0.025","64"
"malbert-classifier-FC30C9203d","a7anbmmp","finished","","251","0.8393969075771357","0.8385253562065212","0.8423375400067242","0.8393969075771357","0.34170106053352356","0.4031","325346","128","16","9","3","4","gelu_new","0.1","0.001","0.01","128"
"malbert-classifier-4ef815ED28","e32ctprk","finished","","724","0.7990125046959695","0.7942441124520224","0.8097455943444825","0.7990125046959695","0.47928309440612793","0.3553","17132258","128","32","10","9","8","relu","0.1","0.001","0.01","512"
